자재,자재 내역,Stock Quantity on Period End,3평판,대분류,소분류,재고일수
1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,875013.601,0.0,원료,원료,999.0
1300271,대웅이지에프원료(동결원액)4mg/1ml,1618.08,0.0,원료,원료,999.0
2300779,[판촉물_부자재][EA]대형쇼핑백(고급)(28*7.5*32),10.0,0.0,세트포장재,세트포장재,999.0
2301915,[부자재]이지듀쇼핑백(245*95*230)2023프로모션,2131.0,0.0,세트포장재,세트포장재,999.0
2302027,[부자재]크림+앰플_서랍형손잡이케이스(2023추석),3871.0,0.0,세트포장재,세트포장재,999.0
2302028,[부자재]휩폼+크림_리본끈사각케이스(2023추석),3618.0,0.0,세트포장재,세트포장재,999.0
2302173,[판촉물부자재]이지듀스페셜기프트세트_세트케이스(리본/2024설),780.0,0.0,세트포장재,세트포장재,999.0
2302177,[판촉물부자재]이지듀스페셜기프트세트_세트케이스(금펄/2024설),1100.0,0.0,세트포장재,세트포장재,999.0
2302224,[판촉물_부자재](면세)원데이앰플(12ml+0.7ml)*3ea_슬리브,1842.0,0.0,세트포장재,세트포장재,999.0
2302226,[판촉물_부자재](면세)이지에프멜라토닝패치(5g*4ea)*3ea_슬리브,2450.0,0.0,세트포장재,세트포장재,999.0
2302317,[부자재]DW이지에프비타민샷마이크로패치_단상자(4개입),3127.0,0.0,세트포장재,세트포장재,999.0
2302335,[부자재]DW이지에프비타민샷마이크로패치_파우치,52508.0,0.0,세트포장재,세트포장재,999.0
2302367,[EA]디더블유이지에프더마톡스니들롤러대_2024(AD)_단상자,17363.0,0.0,세트포장재,세트포장재,999.0
2302396,[판촉물_부자재]이지듀 한가인 슬리브 (비타C토너용),13500.0,0.0,세트포장재,세트포장재,999.0
2302427,[판촉물_부자재]이지듀 한가인 슬리브 (1ml+oy니들기획])_슬리브(판,17549.0,0.0,세트포장재,세트포장재,999.0
2302428,[부자재]이지듀2024가정의달VIP싸바리_쇼핑백,7.0,0.0,세트포장재,세트포장재,999.0
2302436,[부자재][EA]디더블유이지에프더마톡스니들롤러대_단상자,5226.0,0.0,세트포장재,세트포장재,999.0
2302479,[EA]이지듀가정의달패키지(2024)_VIP싸바리(패드),171.0,0.0,세트포장재,세트포장재,999.0
2302564,[EA]멜라라필프로페셔널툴즈키트_단상자,2000.0,0.0,세트포장재,세트포장재,999.0
2302650,[판촉물_부자재]이지듀명절용멜라3-스텝스페셜세트(싸바리),303.0,0.0,세트포장재,세트포장재,999.0
2302671,[EA]스킨부스터나이아신토닝샷앰플1ml*7ea_슬리브,4129.0,0.0,세트포장재,세트포장재,999.0
2302672,[EA]스킨부스터피디알엔리프팅샷앰플1ml*7ea_슬리브,4364.0,0.0,세트포장재,세트포장재,999.0
2302673,[EA]스킨부스터엑소좀포어샷앰플1ml*7ea_슬리브,4850.0,0.0,세트포장재,세트포장재,999.0
2302674,[EA]스킨부스터히알루론글로우샷앰플1ml*7ea_슬리브,4821.0,0.0,세트포장재,세트포장재,999.0
2302708,이지듀스킨부스터엠티에스앰플3.5g_POP단상자,765.0,0.0,세트포장재,세트포장재,999.0
2302909,[판촉물_부자재]이지듀 베리어크림30G_슬리브,1615.0,0.0,세트포장재,세트포장재,999.0
