자재코드,자재내역,대분류,소분류,기말수량,기말금액,단가,유효기한,3평판,남은일,유효기한구간,예측부진재고,예측부진재고금액
7302064,[상품]이지듀멜라샷비타민CBA건기식파우더2g*30ea,기타,기타,10614.0,79887569.0,7526.62229131336,2027-02-20,18.0,347,12개월 미만,10513.8,79133401.4464104
9302971,[EA]디더블유이지에프크림프레좀알엑스(30ml*3ea),기타,기타,4592.0,29838314.013894565,6497.890682468328,2026-11-28,443.0,263,9개월 미만,3609.3,23452836.840232935
9303194,[단종][EA]디더블유이지에프멜라토닝원데이앰플1ml,원데이앰플,1ML,5714.0,7213055.834462983,1262.3478884254432,2026-11-19,1221.0,254,9개월 미만,4464.8,5636130.852241918
9305080,[EA]디더블유이지에프더마톡스니들샷(40mg*2ea),기타,기타,10126.0,43216676.583839886,4267.892216456635,2027-02-26,859.0,353,12개월 미만,8450.533333333333,36065965.43824067
9305530,[EA]디더블유이지에프멜라토닝원데이앰플(1ml*7ea)_ver2,원데이앰플,1ML,7422.0,41038060.13436563,5529.245504495504,2026-09-13,1915.6666666666667,187,7개월 미만,7102.722222222223,39272694.91690254
9305535,[단종][EA]디더블유이지에프멜라토닝원데이앰플1ml_단상자포장없음,원데이앰플,1ML,12213.0,11437334.34458881,936.4885240799812,2026-11-19,846.6666666666666,254,9개월 미만,10636.333333333334,9960804.10495604
9305814,[단종][EX]디더블유이지에프멜라토닝패치(5g*4ea)(썸머에디션),임가공,임가공,2700.0,5411873.303696771,2004.397519887693,2026-12-30,523.0,295,10개월 미만,2081.4333333333334,4172019.8111449075
9305865,[EA]디더블유이지에프더마톡스니들샷(40mg*4ea),기타,기타,7815.0,62685201.0,8021.13896353167,2027-02-12,18.666666666666668,339,12개월 미만,7707.355555555556,61821769.95245895
9305884,[단종][EA]아크네클리어토너200ml,클리어,클리어,541.0,1608368.7554417416,2972.955185659411,2026-09-25,159.33333333333334,199,7개월 미만,440.08888888888885,1308364.5443733106
9306492,[단종][EA]디더블유이지에프10피피엠항산화앰플30ml,기타,기타,708.0,4825691.0,6815.947740112994,2026-11-14,145.33333333333334,249,9개월 미만,373.73333333333323,2547346.868738229
9306763,[EA]디더블유이지에프트리플안티옥시던트크림2ml(샤쉐),기타,기타,12482.0,2216961.0,177.6126422047749,2027-01-07,238.66666666666663,303,11개월 미만,11503.466666666669,2043161.1091812216
9307045,[단종][EA]디더블유이지에프멜라토닝패치(5g*4ea)_AD(2024),멜라(기타),멜라(기타),43.0,86036.5917345022,2000.8509705698184,2026-12-04,254.0,269,9개월 미만,17.6,35214.9770820288
9307343,[EA]이지듀DW-EGF레티노0.03프로멜라토닝크림30ml(베이직),멜라(기타),멜라(기타),10176.0,53906228.149952434,5297.388772597526,2026-10-06,1497.6666666666667,210,8개월 미만,8491.722222222223,44983953.96001691
9307604,[세트]이지듀디더블유이지에프멜라토닝기획세트(앰플+패치)_(컬리),임가공,임가공,255.0,938191.0,3679.180392156863,2026-11-14,55.0,249,9개월 미만,128.5,472774.6803921569
9308426,[EA]멜라에이레티노0.03프로크림_10ml+1ml(올리브영),임가공,임가공,11194.0,46426117.99999999,4147.410934429158,2026-09-10,1724.0,184,7개월 미만,10964.133333333333,45472766.47320588
9308657,[단종][EA]멜라비토닝앰플쿠션21호페어(리필)_15g,멜라(앰플쿠션),리필19호(15G),2843.0,9351791.0,3289.409426661977,2026-12-09,18.33333333333333,274,10개월 미만,2785.555555555555,9162832.702935083
9308659,[단종][EA]멜라비토닝앰플쿠션23호 베이지(리필)_15g,멜라(앰플쿠션),리필23호(15G),5049.0,17017256.0,3370.421073479897,2026-12-29,12.666666666666666,294,10개월 미만,5000.866666666667,16855026.398996502
9308765,[EA]멜라비토닝패치풀페이스(24g*6ea),멜라(기타),멜라(기타),592.0,2496474.076595745,4217.017021276596,2026-11-03,261.6666666666667,238,8개월 미만,172.9444444444444,729309.6659574467
9308812,[EA]멜라에이레티노0.3프로트리트먼트15ml,멜라(기타),멜라(기타),6489.0,32555972.0,5017.101556480197,2026-11-05,308.0,240,9개월 미만,5873.0,29465437.4412082
9309503,[EA]멜라비토닝앰플쿠션19호페어(본품)_V2,멜라(앰플쿠션),본품19호(15G),19.0,99703.45,5247.55,2027-01-21,2.0,317,11개월 미만,9.866666666666667,51775.82666666667
9309505,[EA]멜라비토닝앰플쿠션21호내추럴(본품)_V2,멜라(앰플쿠션),본품21호(15G),261.0,1376250.0,5272.988505747127,2027-01-23,6.333333333333333,319,11개월 미만,228.9111111111111,1207045.6577266925
9309506,[EA]멜라비토닝앰플쿠션23호베이지(본품)_V2,멜라(앰플쿠션),본품23호(15G),452.0,2369303.146551724,5241.821120689655,2027-01-06,11.5,302,11개월 미만,404.20000000000005,2118744.0969827585
9309508,[EA]멜라비토닝앰플쿠션21호내추럴(리필)_V2,멜라(앰플쿠션),리필21호(15G),2627.0,7958314.000000001,3029.43052912067,2027-01-16,332.6666666666667,312,11개월 미만,1163.2666666666667,3524035.553508438
9309509,[EA]멜라비토닝앰플쿠션23호베이지(리필)_V2,멜라(앰플쿠션),리필23호(15G),679.0,2058666.7480748077,3031.909790979098,2027-01-15,205.0,311,11개월 미만,1.0,3031.909790979098
9309510,[EA]디더블유이지에프멜라패치(Japan) 5g*4ea,멜라(기타),멜라(기타),7617.0,15204964.0,1996.1880005251408,2027-01-19,75.0,315,11개월 미만,7279.5,14531250.549822763
9309744,[EA]멜라비토닝앰플쿠션트라이얼3열샤쉐0.2ml*3ea,기타,기타,3593.0,1194437.0,332.43445588644585,2027-01-22,6.0,318,11개월 미만,3565.4,1185261.809017534
9309902,[EA]멜라비토닝앰플쿠션19호페어(리필)15g_V3,멜라(앰플쿠션),리필19호(15G),23321.0,70707173.51234634,3031.910017252534,2027-02-07,1035.6666666666667,334,12개월 미만,17215.0,52194330.94700237
9312444,"[카카오,특판]기미쿠션스페셜기획세트19호페어",임가공,임가공,240.0,2844414.1935483874,11851.725806451614,2027-02-07,16.5,334,12개월 미만,162.75,1928868.375
9312447,"[카카오,특판]기미쿠션스페셜기획세트23호베이지",임가공,임가공,269.0,3176789.974729242,11809.628158844764,2027-02-23,14.0,350,12개월 미만,197.2,2328858.672924187
