인덱스,자재코드,자재내역,플랜트,특별재고,저장위치,배치,기말수량,기말금액,단가,대분류,소분류,유효기한,남은일,유효기한구간,3평판
1,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08185,0.0,0.0,1697.2378634921713,원료,원료,,,유효기한 없음,0.0
2,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08304,0.0,0.0,1697.2378634921713,원료,원료,,,유효기한 없음,0.0
3,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08392,0.0,0.0,1697.2378634921713,원료,원료,,,유효기한 없음,0.0
4,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08393,0.0,0.0,1697.2378634921713,원료,원료,,,유효기한 없음,0.0
5,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08393,79.863,135546.50749207527,1697.2378634921713,원료,원료,,,유효기한 없음,0.0
6,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08394,0.0,0.0,1697.2378634921713,원료,원료,,,유효기한 없음,0.0
7,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08471,607.564,1031180.6252947575,1697.2378634921713,원료,원료,,,유효기한 없음,0.0
8,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08489,0.0,0.0,1697.2378634921713,원료,원료,,,유효기한 없음,0.0
9,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08491,0.0,0.0,1697.2378634921713,원료,원료,,,유효기한 없음,0.0
10,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08491,0.0,0.0,1697.2378634921713,원료,원료,,,유효기한 없음,0.0
11,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08677,404.54,686600.605297123,1697.2378634921713,원료,원료,,,유효기한 없음,0.0
12,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08682,0.0,0.0,1697.2378634921713,원료,원료,,,유효기한 없음,0.0
13,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08682,297.002,504083.03993290185,1697.2378634921713,원료,원료,,,유효기한 없음,0.0
14,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08683,166.405,282428.8666744148,1697.2378634921713,원료,원료,,,유효기한 없음,0.0
15,1000940,DW-EGFLiposol(EGF-나노리포좀)250ppm 1g - DNC,1510,O,,B08755,2414.588,4098130.178333835,1697.2378634921713,원료,원료,,,유효기한 없음,0.0
