자재코드,자재내역,배치,기말수량,기말금액,단가,대분류,소분류,유효기한,남은일,유효기한구간,3평판,예측부진재고,예측부진재고금액
7302064,[상품]이지듀멜라샷비타민CBA건기식파우더2g*30ea,250735,10614.0,79887569.0,7526.62229131336,기타,기타,2027-02-20,351,12개월 미만,18.0,10511.4,79115337.55291125
7302065,[상품]이지듀멜라샷비타민CBA건기식파우더2g*3ea,250735,379.0,560352.0,1478.5013192612137,기타,기타,2027-02-20,351,12개월 미만,0.0,379.0,560352.0
7302185,[카카오]멜라비토닝앰플쿠션본품(선물포장)_21호내추럴,00,1.0,6500.0,6500.0,임가공,임가공,2027-02-26,357,12개월 미만,0.0,1.0,6500.0
7302471,[부자재_인도네시아]비타앰플클렌저_200ml_용기덧방라벨_V2,20251125,940.0,84600.0,90.0,세트포장재,세트포장재,2026-11-25,264,9개월 미만,0.0,940.0,84600.0
7302472,[부자재_인도네시아]원데이앰플_15ml_용기덧방라벨_V2,20251125,400.0,28000.0,70.0,세트포장재,세트포장재,2026-11-25,264,9개월 미만,0.0,400.0,28000.0
7302473,[부자재_인도네시아]원데이앰플_30ml_용기덧방라벨_V2,20251125,800.0,56000.0,70.0,세트포장재,세트포장재,2026-11-25,264,9개월 미만,0.0,800.0,56000.0
7302474,[부자재_인도네시아]비타앰플클렌저_200ml_단상자덧방라벨_V2,20251125,940.0,65800.0,70.0,세트포장재,세트포장재,2026-11-25,264,9개월 미만,0.0,940.0,65800.0
7302475,[부자재_인도네시아]비타앰플클렌저_30ml_단상자덧방라벨_V2,20251125,500.0,60000.0,120.0,세트포장재,세트포장재,2026-11-25,264,9개월 미만,0.0,500.0,60000.0
7302477,[부자재_인도네시아]원데이앰플_30ml_단상자덧방라벨_V2,20251125,800.0,68000.0,85.0,세트포장재,세트포장재,2026-11-25,264,9개월 미만,0.0,800.0,68000.0
9301077,[RX]포스트레이저젤드레싱마스크시트세트(38ml*5ea),2RK209,62.0,310015.0,5000.241935483871,포스트레이저,병의원,2026-11-12,251,9개월 미만,0.0,62.0,310015.0
9301079,[단종][RX]포스트레이저마일드클렌징젤150ml,CLY,1.0,2921.0,2921.0,포스트레이저,병의원,2026-12-15,284,10개월 미만,0.0,1.0,2921.0
9301240,[단종][RX]포스트레이저에센스토너175ML,CKY,2.0,15619.0,7809.5,포스트레이저,병의원,2026-11-01,240,9개월 미만,0.0,2.0,15619.0
9302971,[EA]디더블유이지에프크림프레좀알엑스(30ml*3ea),GLY,4185.0,27193672.506129958,6497.890682468328,기타,기타,2026-11-27,266,9개월 미만,443.0,2976.0,19337722.671025746
9302971,[EA]디더블유이지에프크림프레좀알엑스(30ml*3ea),HLY,589.0,3827257.611973845,6497.890682468328,기타,기타,2026-11-28,267,9개월 미만,443.0,574.2333333333333,3731305.4262293964
9303194,[단종][EA]디더블유이지에프멜라토닝원데이앰플1ml,NLY,7558.0,9540825.3407195,1262.3478884254432,원데이앰플,1ML,2026-11-19,258,9개월 미만,1221.0,4302.0,5430620.616006257
9304348,[단종][EA]디더블유이지에프크림링클컨트롤50ml,DLY,177.0,553814.0,3128.892655367232,기타,기타,2027-01-22,322,11개월 미만,0.0,177.0,553814.0
9305080,[EA]디더블유이지에프더마톡스니들샷(40mg*2ea),H27F01,10126.0,43216676.583839886,4267.892216456635,기타,기타,2027-02-26,357,12개월 미만,859.0,8336.0,35577149.51638251
9305530,[EA]디더블유이지에프멜라토닝원데이앰플(1ml*7ea)_ver2,JJY,1043.0,5767003.061188811,5529.245504495504,원데이앰플,1ML,2026-09-13,191,7개월 미만,1915.6666666666667,854.0,4721975.660839161
9305530,[EA]디더블유이지에프멜라토닝원데이앰플(1ml*7ea)_ver2,KJY,5559.0,30737075.759490505,5529.245504495504,원데이앰플,1ML,2026-09-13,191,7개월 미만,1915.6666666666667,4984.3,27559418.36805694
9305530,[EA]디더블유이지에프멜라토닝원데이앰플(1ml*7ea)_ver2,LJY,1010.0,5584537.959540459,5529.245504495504,원데이앰플,1ML,2026-09-13,191,7개월 미만,1915.6666666666667,1009.0,5579008.714035964
